序号,帖子标题,分类,置信度,关键词,作者
1001,恋人不行第八卷，露西加入战场,漫画,0.95,"恋人不行, 露西, 真唯, 纱月, 蕾娜女士",qinzhen2640
1002,[闲聊] [已完工] 纪念入宅十周年，1979到2024每一年挑一部看过的动画聊聊,动画/番剧,0.95,"无聊世界, 骨王小埋药王, sox, I am the bone of my sword, 1979",Rhmb·B_WT
201,[新番讨论][专楼][轻改]2025年7月新番《我怎么可能成为你的恋人，不行不行！(不是不可能！？)...,动画/番剧,0.95,"我怎么可能成为你的恋人，不行不行！(不是不可能！？), 轻改",ls51476
1004,有没有那种在黄油里面整功利build恶心到同事的,游戏,0.95,"勇者, 优化狂人, build, 战力厨, 恶堕",即食型派蒙
1026,什么无能的妻子，笑死,动画/番剧,0.95,"无能的妻子, 妻综",doctorsolve
1028,p90的设计还是太超前了,动画/番剧,0.95,"哥斯拉, p90, 绝望, 吞枪自决, mon_202509/07/-9lddQ2w-5gdfZkT1kShs-12i.jpg",mcbaddog
1058,久违地听到了心动的音乐,音乐/歌曲,0.95,"花生君, Stop Motion, 魔界ノりりむ, VTuber, 虚拟主播",うたわれ
1029,真好啊，霸气侧漏呢，喜欢侧乳,动画/番剧,0.95,"侧乳, 动画",Just｜Monika
1047,感受到了知识的诅咒，游戏会用邪道之后总想用，感觉不用就亏了,游戏,0.95,"机动战士高达 (高达), 电表倒转, 杀戮尖塔, 唐氏无限, 老滚",超级机器人大战Y
1048,空我漫画，豪猪退场的有点惨,漫画,0.95,"空我, 豪猪, 古朗基, 骏河, 零号",久远寺宅的草十郎
1049,不时以苏卡低声咒骂的邻座艾莉同学,动画/番剧,0.95,"艾莉, 苏卡, 不老铁",是谁的书画
183,可可爱爱的帕蒂,动画/番剧,0.95,"可可爱爱, 帕蒂",丶夜鹰之梦丶
182,[丝之歌氵]大黄蜂锐评白王愚笨,动画/番剧,0.95,"丝之歌, 大黄蜂, 白王",星辰之外的清洁工
180,还有没有类似R9新三国系列和布罗利MAD这种活字印刷的系列鬼畜视频看了,其他,0.95,"R9新三国, 布罗利, MAD, 活字印刷, 鬼畜视频",不可燃lese
179,[突发奇思]大家到底喜欢男娘的哪个部分,动画/番剧,0.95,"南梁, 明标着南梁的图",三声夜莺
177,dl点数怎么充更划算？,动画/番剧,0.95,"dl点数, 点数直充, 黑卡, bitcashs",桃玲音音
1052,恋人不行第八卷彩插图透,漫画,0.95,"恋人不行, 露西",是谁的书画
1053,原来马娘们出门在外都是不穿内库的吗，方便随时马儿跳是吧,动画/番剧,0.95,"马娘, 马, 内库",Just｜Monika
176,这飞贼剑上有毒，小师妹竟觉得浑身发热，双眼也看着师叔也不禁迷离了起来...,漫画,0.95,"飞贼剑, 小师妹, 师叔, 浑身发热, 迷离",Just｜Monika
175,[魔裁][深夜发癫][怪图警告]想玩魔裁的galgame，甩了梅露露去吃希罗软饭然后跟艾玛出轨,游戏,0.95,"魔裁, 梅露露, 希罗, 艾玛, galgame",Tekeli
1054,[京吹氵]补番。 黑江真由太婊了，补到第8集，她出境我都得暂停缓缓,动画/番剧,0.95,黑江真由太,你说不行
1056,假面骑士ZZZ的第一集观感还行,动画/番剧,0.95,"假面骑士ZZZ, 高桥一树, 梦境, 特效, 第一集",匿名用户555
1057,纯良版视奸的初音,虚拟主播/VTuber,0.95,"初音, mon_202509/06, VTuber",Respecolt
1046,[拼装]酋长大陆坚盾,手办/周边,0.95,"拼装, 小队, 坚盾, 酋长",十六夜DIO夜
1045,有哪些类似漏瑚，同时代只有一只手能打过它，结果全给遇上的,漫画,0.95,"宿傩, 五条悟, 漏瑚, 特级, 踩到",即食型派蒙
1044,魅魔学院游泳部,动画/番剧,0.95,"魅魔学院, 游泳部",丶夜鹰之梦丶
1037,白天清纯虔诚，夜晚却召唤触手上淫纹的修女,其他,0.95,"修女, 触手, 淫纹, NGA论坛",丶夜鹰之梦丶
1030,[日清联动]都以为是联动死神小学生,动画/番剧,0.95,"日清, 联动, 死神, 小学生",ben君
189,[新闻资讯] 30MF 魔真神坛斗士 灼热的凯 商品化决定,动画/番剧,0.95,"30MF, 魔真神坛斗士, 灼热的凯",hcahcsroR
1033,[魔裁氵] 魔裁的奈叶香感觉有点像小光和晓美焰,动画/番剧,0.95,"魔裁, 奈叶香, 小光, 晓美焰",插花少女若心影
1034,喜报，我最爱的战败体验馆更新了,游戏,0.95,"战败体验馆, 游戏",Just｜Monika
188,[闲聊氵] 乌拉拉离世后被提名登上英维首页讣告栏,游戏,0.95,"乌拉拉, mon_202509, 英维首页",XC6180HZ
1036,库哔如何反杀撤硕战神西索,动画/番剧,0.95,"库哔, 西索, 仲岛·海皇",间桐葬剑
1038,(机战氵)这代主角团的肉身战斗能力着实是有些夸张了,游戏,0.95,"机动战士高达, 高达, 盖塔队, 朱雀卡莲, 多蒙",南野奏太
184,[超长文预警！][今夕是何年]分析切嗣和舞弥的关系——由他俩关系所引申出卫宫切嗣心理的“极端”,动画/番剧,0.95,"Fate/Zero, Fate, 卫宫切嗣, 久宇舞弥, 圣杯战争",想不出什么好名字3
1039,东方新作锦上京同人搬运图楼,游戏,0.95,"东方, 锦上京, ユイマン·浅間, 渡里ニナ",AlexiusRH
1040,装甲恶鬼村正有横排文字补丁吗,漫画,0.95,"村正, 横排文字补丁",小小小黎
1041,美男高校地球防卫部high collar是没引进吗,动画/番剧,0.95,"美男高校地球防卫部, 高领",y18813120652
187,问问大佬，工口状态栏用什么提示词组或者lora能做出来啊,其他,0.95,"工口, 状态栏, 角色, 格子, 口胸穴菊",兀德桑
186,所以大黄蜂这身黑色应该是胶衣还是黑丝,动画/番剧,0.95,"大黄蜂, 黑色, 胶衣, 黑丝",金色UR
185,有个神奇的问题困扰我很久了,动画/番剧,0.95,"炭治郎, 忍, 炎呼, 日之呼吸, 鬼灭之刃",天无宅人之路
1126,"咒术水，术式是""模仿咒力属性""，而不是""模仿术式""的话算什么水平",动画/番剧,0.95,"咒术回战, 术式, 白板牢, AOE, 幻兽琥珀",即食型派蒙
1108,虽然知道是为了给观众解释,动画/番剧,0.95,"C位, 偶像",renkan119
115,求助万能的潭友帮忙找一位B站画师,动画/番剧,0.95,"B站画师, 重命名, 标注作者, Google搜索",唯一指定陈X
1181,[新番讨论][专楼] TV动画《精灵宝可梦 地平线》超级电压 9月5日ep.109 巧锻匠，打造最强...,动画/番剧,0.95,"精灵宝可梦 地平线, 路卡利欧, 莉可, 罗伊, 巴戈戈",八目鳗
1179,[魔裁氵][剧透/烂梗/迫害警告][直播结束]在花田的中心呼唤爱情(完结感言以及后附神秘艾希小短篇),游戏,0.95,"魔裁, 蕾雅, 诺亚, 希罗, 安安",Lsqxs
1177,今日辩题之futa到底是一般xp还是特殊xp,游戏,0.95,"futa, xp入门套装",麦林Mognum
113,LLAS游戏剧情立绘(含表情差分)、SD立绘、角色称号、表情、歌牌素材注释整理,游戏,0.95,"Love Live! School Idol Festival (LLAS), SIFAS, IDOL STORY, LLSIF, Suyooo's SIFAS Pages",Anemoneae
1176,我的天，动画版的牢淳真的太人类了,动画/番剧,0.95,"牢淳, 动画",不是地球人jk
1175,[新番讨论][专楼][漫改]2025年7月新番《最近的侦探真没用》[施工中],动画/番剧,0.95,最近的侦探真没用,秋之枫叶鱼
1174,漩涡真的很好看啊,漫画,0.95,"漩涡, 蜗牛人, 蚊子, 克苏鲁, 恐怖漫画",海角吾心
114,[二次元国家地理][新番讨论][专楼] 2024年10月 LoveLive!Superstar!! ...,动画/番剧,0.95,"LoveLive! Superstar!!, Liella!, 涩谷香音, 唐可可, 岚千砂都",麦林Mognum
1172,表扬一下这次游戏王官中,游戏,0.95,"游戏王, 回文, 卡牌, 简中, 卡名",林登万的梦想
1171,为啥gbc里的钻石星辰团只有四个人来着,游戏,0.95,"钻石星辰团, gbc, 乐队",往生堂77代堂主胡桃
1169,难绷机战y里谁都瞧不起基瓦扎,游戏,0.95,"机动战士高达, 基瓦扎, 希洛克",oftc3121
1128,[求助] 求泥潭人工智能帮忙找一个可能略G向的牛头人本,漫画,0.95,"牛头人, 漫画家, 嫂子, 子X, 婚戒",Re_Plumbum
116,[肝胆涂地]舰娘大法好！舰队collection快速入门指南Mk.3改 Model 2024,游戏,0.95,"舰队collection, 舰娘, 模型2024, 维基百科",ywwuyi
119,迷你比基尼的四条贵音,动画/番剧,0.95,"迷你比基尼, 四条贵音",丶夜鹰之梦丶
1165,冷知识，小兰是柯哀党,动画/番剧,0.95,"小兰, 柯哀, 未定事件R",qwery233
1164,[逆转裁判]可能是个游玩感想帖,游戏,0.95,"逆转裁判, 开庭, 证人, 检察院, 证据",╭老船长﹎
1163,五等分本子有一点很难绷,漫画,0.95,"五等分本子, 吃包, 本子",Viviankl
120,f91剧场版原来最先的就是崩坏的,动画/番剧,0.95,"f91, 剧场版, 崩坏",吾心蒙尘
1162,这是否也能算是一种画蛇添足,漫画,0.95,"海贼王, 罗罗诺亚·索隆, 漫画, 画蛇添足",Respecolt
121,[深夜氵]有一说一，茵蒂克丝真色吧,轻小说,0.95,"茵蒂克丝, 当麻, 魔法禁书目录, 小说, 动画",三月七的冒烟白丝
123,[丝之歌] 玩家社区里白王的形象越来越接近帝皇了啊,游戏,0.95,"丝之歌, 白王, 虫抗击四神, 子嗣, 容器",耳朵疯子
124,盲猜一下豪兽者会不会改剧本呢,动画/番剧,0.95,"豪兽者, 二代, 角妹",tzy502
1160,[奥特氵] 盖亚奥特曼里，盖亚是大地之光，阿古茹是海洋之光，那天空是？,动画/番剧,0.95,"盖亚, 奥特曼, 阿古茹, 佐格, 破灭天使",霞雨林R
1159,[彻夜之歌氵]这第十集对我来说是两季以来观感最差的一集,动画/番剧,0.95,"侦探, 吸血鬼, 动画",蜉蝣阿
125,[好大的饼] 《尖帽子的魔法工坊》制作团队目标是制作出一部好莱坞大片级别的作品,动画/番剧,0.95,"尖帽子的魔法工坊, 好莱坞大片",ggggak
1158,牢淳这想强x怎么还让对面道歉啊 跟个受害者一样,动画/番剧,0.95,"牢淳, 强x, 道歉",苍蓝星不是好厨子
1157,Gladiator PCS雕像开箱,手办/周边,0.95,"Gladiator PCS, Maximus Decimus Meridius, 罗素, 罗马大斗兽场, 宝丽石",Sktotoro
1156,如何看待不算好人但对主角很好所以人气评价都不错的角色,游戏,0.95,"巫师3, 希里, 树心任务, 罗生罗",鬼屎蛋
1155,关于咒术怀玉剧场版片尾曲新加的特典映像,漫画,0.95,"咒术回战, 灰原雄, 纳米, 五条夏油硝子, 怀玉篇",林远夏w
1154,富野要给ms装芒果金果,动画/番剧,0.95,"富野要, MS, 芒果金果",康康康kang
1180,[特摄]冷兵器时代，射程确实很重要啊,游戏,0.95,"特摄, 射程, 莫尔德, 银河, 肖恩",怀汲深
1182,[奥特氵]没有奥特曼机械降神，单凭人类真的很难破局文明自灭游戏吧,游戏,0.95,"泽塔, 伽古拉, 赛雷布洛, 奥特曼, 机械降神",乌鸦☆写字台
1152,是喜欢直腿机器人，还是逆关节腿机器人？,动画/番剧,0.95,"机器人, 直腿, 逆关节, mon_202509",GoldenAlien
1183,阿库亚那个有画面了，花鸟风月！,动画/番剧,0.95,"阿库亚, 花鸟风月",Just｜Monika
1209,试析《我和女友妹妹接吻了》中,动画/番剧,0.95,"我和女友妹妹接吻了, 博道, 晴香, 时雨, 白马王子",椰子噢
1208,这下集预告是竹岛发力了？,动画/番剧,0.95,"蓝毛, 竹岛",是谁的书画
1207,这是在暗示伸手指过去吗,动画/番剧,0.95,"mon_202509, webp",丶夜鹰之梦丶
1205,[高达w氵] 万代高层：宣传部！给我为mr飞翼配一张最高光，最体现驾驶员特色的原作画面作为宣传海报！,动画/番剧,0.95,"高达, mr飞翼",egoistcj
1204,[咒术氵] 是神...神伏笔? 对...对吗?,动画/番剧,0.95,"咒术回战, 伏黑蛇神",ROROCHAN
1203,看第一季我独自升级真的蚌埠住,动画/番剧,0.95,"我独自升级, 二月新番, 日本公司制作",啊啊啊啊用户名已存在
103,[氵] 總之你是魔王，你會選擇什麼種族作為你的四天王？,动画/番剧,0.95,"魔王, 惡墮英雄, 種族, 四天王",Norven3032
1201,飞舞扎基,动画/番剧,0.95,"飞舞扎基, 黑暗力量, 黑洞",伊莉雅丶炽蓝法夜
1200,[机战氵]希洛克日常拐女性,动画/番剧,0.95,"机动战士高达, 希洛克, 日常, 拐女性",oftc3121
1199,弱男营业是指什么？谁能解释一下？,动画/番剧,0.95,"营业, 弱男",韩老魔航天尊
1198,[轨迹氵]闪四断章推完吐槽,游戏,0.95,轨迹 W、闪四、黎恩、克洛、二姐、瑟蕾奴、黑兔、七班、法社、阿加特兰迪,153interpreter
104,[百变怪娘]撤退,动画/番剧,0.95,"百变怪娘, 撤退",SakaiShana
105,《数码宝贝物语时空异客》9月11号发布试玩版,游戏,0.95,"数码宝贝, 时空异客",丶夜鹰之梦丶
1196,亲妈把儿子当做恶心亲爹的工具，儿子堕入魔道是儿子的问题吗？,轻小说,0.95,"魔道, 亲爹, 魔教法王, 堕入魔道, 亲妈",驱逐蜥蜴定要先驰得点
1195,大连者这引用三国角色也太出戏了(剧透),动画/番剧,0.95,"三国, 子龙, 贾诩, 田丰, 李儒",林中南
106,为什么我感觉奥特曼的里面的怪兽，人形大小时候最吓人,动画/番剧,0.95,"奥特曼, 怪兽",无法想象的未来
1193,[机战]续参的银河机攻队反而比初参时更为出彩,动画/番剧,0.95,"机攻队, 银河机攻队, 阿姆罗, 女武神小队",10RANCE
107,异世界舅舅第十四卷单行本封面,漫画,0.95,"异世界舅舅, 单行本",笑笑976431
108,现在IOS是不是彻底看不了拷贝了？,动画/番剧,0.95,"拷贝, 蓝狐盒子, yealico, 站点",九凰院铃音
1192,可惜这次机战y没eva啊,动画/番剧,0.95,"机动战士高达, EVA, 多蒙, 老大哥, 真嗣",coolshen
1190,我发现了在我心里二次元正统一直都是校园奇幻恋爱题材,动画/番剧,0.95,"泛式夏洛特, Fate, 小樱, CL, 守护甜心",水果与咖啡
1189,[小道消息]手牌很多的维多利亚 动画化,动画/番剧,0.95,维多利亚,SakaiShana
1188,竹岛发力了？,动画/番剧,0.95,小香穗,Viviankl
109,[漫画推荐?]因为过于不知所谓，导致说不出什么话来,漫画,0.95,"漫画推荐, 不知所谓",俺の子を孕む妹の記録
110,LoveLive！系列,动画/番剧,0.95,"LoveLive!, μ's, Aqours, 希望Live!, 偶像",admin
111,[破事水]这是什么二偶大联动,动画/番剧,0.95,"十五周年, 翻唱企划, 梦幻联动",hhh76501
1186,[XP氵]我完全明白了.jpg,游戏,0.95,"FGO (Fate/Grand Order), 剑龙娘, 空杯, 贫乳",玻璃铃兰
1185,迁怒算不算一种常见的大众雷点,动画/番剧,0.95,"a, b, 剧情, 雷点, 角色",鬼屎蛋
112,[虹咲学园][虹四二期][专楼]2024年4月 LoveLive! 虹咲学园学园偶像同好会 短篇动画...,动画/番剧,0.95,"虹咲学园, 学园偶像同好会, LoveLive!, 动画, 电影",麦林Mognum
1153,[新闻资讯] METAL ROBOT魂 RX-93-ν2 Hi-ν高达 -Exclusive Edi...,手办/周边,0.95,"METAL ROBOT魂, RX-93-ν2 Hi-ν高达, Exclusive Edition, Wonder Festival 2025",hcahcsroR
457,日本旅游小记(？,动画/番剧,0.95,"当哒, 琉璃, 宝石之国, 拔作岛",ヰ世界情緒は神
126,[漫画讨论] [专楼] JUMP讨论专楼 #41新连载《モジュロ》：芥见下下+岩崎优次，什么居然不是...,漫画,0.95,"JUMP, モジュロ, アイアンファミリア, イリオス, 王立魔法学園の最下生",fgfg6483
1137,[拼装]主天使竟然比其他两只大那么多,动画/番剧,0.95,"主天使, 体型, 某某动画",丶来包辣条
134,[魔女审判] 终于轮到我来开坑魔女审判了，来个文字直播,游戏,0.95,"魔女审判, 弹丸论破",大理石牧场
1147,有多少人和我一样容易偏爱低人气女主,轻小说,0.95,"fsn樱, 月姬咖喱学姐柚子, 千恋奶黄包, 路人女主英梨梨",间桐葬剑
131,奥美迦朱雀形态玩具图,手办/周边,0.95,"奥美迦朱雀, 玩具, 形态",doyun26
1145,"[东方忍杀氵][可能剧透] Lord of 罪罚, 秦心说",游戏,0.95,"Lord of 罪罚, 秦心说, Overlord, Kyoto: Hell on Earth, 尼德霍格",SyobonHex
1138,当阴郁系女孩谈恋爱想接吻时~~,动画/番剧,0.95,"阴郁系, 女孩, 接吻",Just｜Monika
128,[新番讨论] [专楼][漫改][芳文社]孤独摇滚！/ぼっち·ざ·ろっく！ 第12话 晨光落在你身上[...,动画/番剧,0.95,"孤独摇滚！, 后藤独, 伊地知虹夏, 结束乐队, 芳文社",看客之一
1139,[技术交流][变形金刚]如果有一天弹簧有了地球载具形态,动画/番剧,0.95,"变形金刚, 弹簧",sevenhow
1140,[新番讨论][专楼][轻改]2025年7月新番《Silent Witch 沉默魔女的秘密》(周五23...,动画/番剧,0.95,"Silent Witch 沉默魔女的秘密, 莫妮卡·艾瓦雷特, 利迪尔王国, 赛莲蒂亚学园, 菲利克斯",ls51476
129,[逆转裁判]姐夫这计划是不是有点问题,游戏,0.95,"逆转裁判, 春美, 真宵, 千奈美, 姐夫",╭老船长﹎
139,丝之歌大量差评的原因是因为没有战败cg(大嘘),游戏,0.95,"丝之歌, CG, 战败",u天地图新客户喜欢看
1142,宝可梦礼宾部第二季出了，对这个没有宝可梦的世界绝望了,动画/番剧,0.95,"宝可梦礼宾部, 宝可梦",超级机器人大战Y
130,[破事氵] 艾玛太可爱了吧！简直就是天使——,动画/番剧,0.95,"艾玛, VTuber, 橘雪莉",插花少女若心影
1143,哥斯拉奇点这男主感觉坂田银时味太浓了,动画/番剧,0.95,"哥斯拉, 坂田银时",10RANCE
140,[新闻资讯] 30MS 和泉爱依，星井美希 官图更新,手办/周边,0.95,"30MS, 泉爱依, 星井美希, Alpha Sisters Phantasm 2, YOU AND i !",hcahcsroR
132,明日香LABO喷涂,手办/周边,0.95,"明日香LABO, 喷涂, 模型",3636cpy
138,西游记这唐僧看得我有点不适了说实话，像小仙女,漫画,0.95,"西游记, 唐僧, 孙悟空, 女儿国, 青牛精",流氓切击择投
1146,百合破坏这题材感觉卡哪里了。,动画/番剧,0.95,"百合, a和b, c, 女主, 异性恋",霞天义流
1150,有什么男性视角的恋爱韩漫能推荐的吗,漫画,0.95,"恋爱韩漫, 跳槽日志, 后宫",正义君177
1149,看有人说电锯人tv的总集篇非常不错？,动画/番剧,0.95,"电锯人tv, 油管主, 处刑龙哥",活久见套路深
1151,今天中元节发一些僵尸娘,动画/番剧,0.95,"僵尸娘, 中元节",Respecolt
1135,拔作岛最新一集，男主跪地，nns要被处以极刑了,动画/番剧,0.95,"拔作岛, 男主, 极刑",清茶很苦
137,[死灵之子]编剧是什么失心疯了的河豚吗，但是感觉写出来东西绝对会被百吧除籍,动画/番剧,0.95,"死灵之子, 克图, 圭姐, 鸟哥, 伊藤彩沙",知世就是力量z
